乞闭 碍荐老荐
楷档,1岿,2岿,3岿,4岿,5岿,6岿,7岿,8岿,9岿,10岿,11岿,12岿,楷钦拌,鉴困
1961,3.0,4.0,5.0,4.0,7.0,12.0,15.0,12.0,14.0,10.0,7.0,6.0,99.0,52
1962,4.0,2.0,3.0,10.0,4.0,11.0,12.0,13.0,15.0,4.0,6.0,4.0,88.0,91
1963,4.0,2.0,4.0,20.0,11.0,19.0,11.0,12.0,5.0,4.0,3.0,5.0,100.0,47
1964,8.0,6.0,6.0,12.0,5.0,8.0,13.0,3.0,15.0,5.0,4.0,1.0,86.0,100
1965,4.0,3.0,5.0,7.0,9.0,4.0,18.0,13.0,2.0,4.0,8.0,4.0,81.0,111
1966,1.0,5.0,12.0,7.0,8.0,7.0,11.0,10.0,12.0,9.0,6.0,2.0,90.0,85
1967,5.0,7.0,8.0,10.0,4.0,14.0,10.0,11.0,14.0,5.0,13.0,2.0,103.0,41
1968,2.0,3.0,7.0,7.0,5.0,5.0,14.0,12.0,7.0,5.0,7.0,6.0,80.0,113
1969,9.0,8.0,6.0,12.0,7.0,8.0,15.0,13.0,12.0,0.0,6.0,8.0,104.0,35
1970,1.0,5.0,2.0,5.0,9.0,9.0,14.0,15.0,14.0,7.0,4.0,5.0,90.0,84
1971,5.0,7.0,7.0,7.0,7.0,13.0,15.0,10.0,9.0,2.0,3.0,3.0,88.0,90
1972,11.0,9.0,9.0,11.0,12.0,6.0,11.0,13.0,10.0,7.0,11.0,2.0,112.0,9
1973,12.0,5.0,4.0,11.0,7.0,8.0,10.0,5.0,9.0,9.0,7.0,3.0,90.0,83
1974,2.0,5.0,7.0,7.0,10.0,9.0,20.0,5.0,4.0,8.0,7.0,6.0,90.0,82
1975,5.0,6.0,7.0,11.0,10.0,12.0,12.0,10.0,10.0,7.0,6.0,2.0,98.0,56
1976,2.0,11.0,7.0,10.0,9.0,9.0,12.0,15.0,9.0,7.0,7.0,7.0,105.0,28
1977,2.0,0.0,10.0,9.0,7.0,8.0,13.0,7.0,8.0,4.0,8.0,4.0,80.0,112
1978,7.0,5.0,6.0,6.0,5.0,15.0,10.0,13.0,12.0,4.0,9.0,5.0,97.0,61
1979,6.0,7.0,5.0,9.0,10.0,15.0,9.0,11.0,11.0,2.0,3.0,3.0,91.0,79
1980,8.0,4.0,7.0,9.0,10.0,9.0,16.0,19.0,5.0,9.0,3.0,9.0,108.0,19
1981,4.0,7.0,5.0,9.0,6.0,12.0,14.0,11.0,6.0,7.0,4.0,5.0,90.0,81
1982,2.0,5.0,8.0,7.0,5.0,8.0,14.0,14.0,4.0,4.0,8.0,5.0,84.0,106
1983,5.0,7.0,10.0,12.0,5.0,8.0,18.0,8.0,15.0,3.0,6.0,2.0,99.0,51
1984,0.0,2.0,6.0,10.0,4.0,9.0,12.0,10.0,9.0,2.0,5.0,6.0,75.0,115
1985,0.0,7.0,8.0,8.0,7.0,7.0,15.0,11.0,14.0,10.0,6.0,5.0,98.0,55
1986,3.0,3.0,6.0,6.0,8.0,10.0,14.0,13.0,8.0,7.0,3.0,7.0,88.0,89
1987,6.0,7.0,6.0,6.0,8.0,6.0,17.0,16.0,7.0,4.0,5.0,1.0,89.0,87
1988,4.0,4.0,8.0,6.0,7.0,7.0,12.0,10.0,9.0,3.0,2.0,5.0,77.0,114
1989,8.0,9.0,7.0,6.0,6.0,11.0,13.0,8.0,15.0,3.0,8.0,4.0,98.0,54
1990,8.0,9.0,9.0,9.0,12.0,12.0,14.0,9.0,15.0,4.0,5.0,3.0,109.0,15
1991,5.0,9.0,11.0,6.0,7.0,9.0,22.0,13.0,8.0,2.0,5.0,7.0,104.0,34
1992,6.0,3.0,10.0,12.0,9.0,8.0,8.0,16.0,12.0,9.0,3.0,7.0,103.0,40
1993,6.0,5.0,7.0,7.0,11.0,10.0,14.0,19.0,7.0,4.0,10.0,6.0,106.0,25
1994,5.0,4.0,6.0,8.0,9.0,6.0,8.0,7.0,5.0,7.0,3.0,4.0,72.0,118
1995,5.0,2.0,6.0,8.0,11.0,11.0,15.0,13.0,7.0,5.0,2.0,1.0,86.0,99
1996,3.0,1.0,10.0,5.0,9.0,11.0,11.0,9.0,4.0,5.0,12.0,4.0,84.0,105
1997,2.0,2.0,5.0,9.0,12.0,10.0,13.0,13.0,6.0,3.0,8.0,6.0,89.0,86
1998,8.0,11.0,4.0,13.0,8.0,16.0,18.0,19.0,8.0,4.0,5.0,0.0,114.0,5
1999,2.0,4.0,8.0,8.0,8.0,8.0,14.0,16.0,13.0,8.0,5.0,0.0,94.0,71
2000,8.0,0.0,6.0,7.0,9.0,11.0,10.0,13.0,14.0,6.0,6.0,4.0,94.0,70
2001,5.0,6.0,6.0,4.0,7.0,11.0,11.0,11.0,7.0,7.0,2.0,4.0,81.0,110
2002,9.0,1.0,7.0,6.0,10.0,4.0,15.0,17.0,6.0,8.0,2.0,8.0,93.0,77
2003,5.0,5.0,7.0,10.0,13.0,6.0,21.0,15.0,13.0,3.0,8.0,3.0,109.0,14
2004,3.0,8.0,5.0,8.0,14.0,11.0,12.0,13.0,15.0,2.0,6.0,5.0,102.0,44
2005,5.0,5.0,10.0,5.0,7.0,11.0,17.0,18.0,15.0,7.0,4.0,4.0,108.0,18
2006,5.0,10.0,4.0,11.0,13.0,10.0,19.0,11.0,7.0,3.0,6.0,3.0,102.0,43
2007,0.0,4.0,8.0,5.0,8.0,11.0,13.0,18.0,19.0,5.0,0.0,5.0,96.0,63
2008,7.0,2.0,8.0,8.0,9.0,12.0,12.0,10.0,6.0,3.0,3.0,3.0,83.0,109
2009,3.0,6.0,6.0,7.0,10.0,8.0,19.0,6.0,7.0,5.0,6.0,4.0,87.0,96
2010,4.0,9.0,12.0,9.0,7.0,10.0,17.0,18.0,8.0,9.0,2.0,7.0,112.0,8
2011,2.0,7.0,2.0,8.0,13.0,9.0,19.0,17.0,6.0,6.0,10.0,4.0,103.0,39
2012,8.0,4.0,10.0,9.0,10.0,11.0,13.0,13.0,10.0,3.0,8.0,9.0,108.0,17
2013,4.0,8.0,6.0,10.0,7.0,12.0,10.0,13.0,10.0,7.0,8.0,6.0,101.0,46
2014,2.0,4.0,8.0,9.0,9.0,12.0,16.0,21.0,6.0,7.0,6.0,3.0,103.0,38
2015,9.0,6.0,4.0,15.0,7.0,7.0,11.0,14.0,9.0,5.0,13.0,8.0,108.0,16
2016,3.0,3.0,6.0,11.0,8.0,14.0,16.0,8.0,17.0,8.0,6.0,5.0,105.0,27
2017,4.0,4.0,9.0,9.0,5.0,10.0,15.0,16.0,6.0,6.0,1.0,1.0,86.0,98
2018,5.0,3.0,10.0,7.0,10.0,8.0,8.0,12.0,10.0,9.0,6.0,6.0,94.0,69
2019,3.0,4.0,8.0,9.0,5.0,8.0,12.0,12.0,12.0,7.0,3.0,4.0,87.0,95
2020,8.0,5.0,5.0,6.0,8.0,11.0,18.0,10.0,12.0,3.0,4.0,3.0,93.0,76
2021,5.0,5.0,7.0,4.0,14.0,14.0,14.0,20.0,10.0,6.0,4.0,1.0,104.0,33
2022,0.0,1.0,7.0,6.0,3.0,10.0,10.0,14.0,7.0,5.0,7.0,2.0,72.0,117
2023,2.0,3.0,3.0,9.0,9.0,11.0,14.0,13.0,11.0,5.0,8.0,9.0,97.0,60
2024,8.0,13.0,9.0,9.0,10.0,8.0,17.0,8.0,8.0,12.0,4.0,1.0,107.0,22
2025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,119


乞闭 拌例喊 碍荐老荐
楷档,航(3~5岿),咯抚(6~8岿),啊阑(9~11岿),败匡(12~劳斥2岿)
弥辟 10斥,23.2,36.3,22.4,11.9
弥辟  5斥,21.8,38.4,21.2,10.6
1907,31.0,39.0,22.0,11.0
1908,33.0,44.0,16.0,10.0
1909,21.0,37.0,23.0,18.0
1910,25.0,47.0,28.0,15.0
1911,27.0,37.0,34.0,13.0
1912,25.0,35.0,12.0,11.0
1913,22.0,24.0,14.0,18.0
1914,32.0,30.0,22.0,13.0
1915,27.0,30.0,19.0,15.0
1916,19.0,49.0,22.0,8.0
1917,25.0,31.0,26.0,6.0
1918,29.0,40.0,21.0,16.0
1919,22.0,31.0,21.0,22.0
1920,22.0,42.0,15.0,23.0
1921,28.0,37.0,20.0,17.0
1922,16.0,35.0,29.0,18.0
1923,30.0,38.0,22.0,12.0
1924,19.0,29.0,21.0,18.0
1925,24.0,46.0,27.0,25.0
1926,26.0,29.0,29.0,18.0
1927,22.0,39.0,24.0,21.0
1928,22.0,35.0,35.0,15.0
1929,30.0,28.0,20.0,29.0
1930,29.0,46.0,23.0,21.0
1931,21.0,43.0,26.0,26.0
1932,22.0,33.0,25.0,20.0
1933,24.0,45.0,21.0,11.0
1934,23.0,40.0,25.0,15.0
1935,18.0,41.0,27.0,16.0
1936,27.0,50.0,17.0,23.0
1937,28.0,39.0,28.0,13.0
1938,30.0,33.0,16.0,18.0
1939,18.0,29.0,27.0,7.0
1940,16.0,42.0,17.0,13.0
1941,23.0,40.0,18.0,14.0
1942,28.0,26.0,24.0,8.0
1943,21.0,35.0,22.0,12.0
1944,25.0,27.0,29.0,9.0
1945,24.0,33.0,26.0,6.0
1946,30.0,38.0,17.0,16.0
1947,23.0,49.0,18.0,15.0
1948,23.0,49.0,19.0,18.0
1949,20.0,34.0,23.0,23.0
1950,18.0,34.0,22.0,20.0
1951,25.0,28.0,20.0,15.0
1952,27.0,32.0,28.0,13.0
1953,23.0,37.0,18.0,26.0
1954,21.0,39.0,22.0,9.0
1955,23.0,36.0,19.0,8.0
1956,32.0,41.0,18.0,13.0
1957,26.0,42.0,10.0,21.0
1958,21.0,40.0,29.0,19.0
1959,31.0,39.0,20.0,14.0
1960,25.0,24.0,25.0,11.0
1961,16.0,39.0,31.0,12.0
1962,17.0,36.0,25.0,10.0
1963,35.0,42.0,12.0,19.0
1964,23.0,24.0,24.0,8.0
1965,21.0,35.0,14.0,10.0
1966,27.0,28.0,27.0,14.0
1967,22.0,35.0,32.0,7.0
1968,19.0,31.0,19.0,23.0
1969,25.0,36.0,18.0,14.0
1970,16.0,38.0,25.0,17.0
1971,21.0,38.0,14.0,23.0
1972,32.0,30.0,28.0,19.0
1973,22.0,23.0,25.0,10.0
1974,24.0,34.0,19.0,17.0
1975,28.0,34.0,23.0,15.0
1976,26.0,36.0,23.0,9.0
1977,26.0,28.0,20.0,16.0
1978,17.0,38.0,25.0,18.0
1979,24.0,35.0,16.0,15.0
1980,26.0,44.0,17.0,20.0
1981,20.0,37.0,17.0,12.0
1982,20.0,36.0,16.0,17.0
1983,27.0,34.0,24.0,4.0
1984,20.0,31.0,16.0,13.0
1985,23.0,33.0,30.0,11.0
1986,20.0,37.0,18.0,20.0
1987,20.0,39.0,16.0,9.0
1988,21.0,29.0,14.0,22.0
1989,19.0,32.0,26.0,21.0
1990,30.0,35.0,24.0,17.0
1991,24.0,44.0,15.0,16.0
1992,31.0,32.0,24.0,18.0
1993,25.0,43.0,21.0,15.0
1994,23.0,21.0,15.0,11.0
1995,25.0,39.0,14.0,5.0
1996,24.0,31.0,21.0,8.0
1997,26.0,36.0,17.0,25.0
1998,25.0,53.0,17.0,6.0
1999,24.0,38.0,26.0,8.0
2000,22.0,34.0,26.0,15.0
2001,17.0,33.0,16.0,14.0
2002,23.0,36.0,16.0,18.0
2003,30.0,42.0,24.0,14.0
2004,27.0,36.0,23.0,15.0
2005,22.0,46.0,26.0,19.0
2006,28.0,40.0,16.0,7.0
2007,21.0,42.0,24.0,14.0
2008,25.0,34.0,12.0,12.0
2009,23.0,33.0,18.0,17.0
2010,28.0,45.0,19.0,16.0
2011,23.0,45.0,22.0,16.0
2012,29.0,37.0,21.0,21.0
2013,23.0,35.0,25.0,12.0
2014,26.0,49.0,19.0,18.0
2015,26.0,32.0,27.0,14.0
2016,25.0,38.0,31.0,13.0
2017,23.0,41.0,13.0,9.0
2018,27.0,28.0,25.0,13.0
2019,22.0,32.0,22.0,17.0
2020,19.0,39.0,19.0,13.0
2021,25.0,48.0,20.0,2.0
2022,16.0,34.0,19.0,7.0
2023,21.0,38.0,24.0,30.0
2024,28.0,33.0,24.0,2.0


碍荐老荐 包螟蔼
楷档,朝楼,瘤痢,包螟蔼
1907,0201,措备,0.2
1907,0217,措备,0.4
1907,0302,措备,0.1
1907,0308,措备,0.1
1907,0321,措备,6.6
1907,0322,措备,11.7
1907,0327,措备,0.4
1907,0328,措备,0.1
1907,0329,措备,0.4
1907,0331,措备,1.1
1907,0401,措备,1.1
1907,0405,措备,9
1907,0409,措备,7.7
1907,0410,措备,3
1907,0413,措备,8.6
1907,0415,措备,0.3
1907,0419,措备,4.5
1907,0420,措备,23.7
1907,0426,措备,9.3
1907,0427,措备,0.2
1907,0430,措备,7.2
1907,0504,措备,0.8
1907,0505,措备,2.6
1907,0506,措备,2.4
1907,0507,措备,0.9
1907,0509,措备,0.2
1907,0511,措备,0.1
1907,0516,措备,0.3
1907,0517,措备,23.8
1907,0521,措备,0.1
1907,0522,措备,0.2
1907,0525,措备,1.4
1907,0529,措备,8.9
1907,0604,措备,1.2
1907,0605,措备,3.2
1907,0606,措备,0.1
1907,0607,措备,8.4
1907,0608,措备,0.5
1907,0610,措备,24.1
1907,0611,措备,10.9
1907,0612,措备,9.6
1907,0613,措备,0.1
1907,0617,措备,4
1907,0623,措备,1.2
1907,0624,措备,0.1
1907,0625,措备,1.5
1907,0702,措备,0.5
1907,0703,措备,0.1
1907,0707,措备,15.1
1907,0708,措备,0.4
1907,0710,措备,0.2
1907,0713,措备,0.5
1907,0714,措备,2.8
1907,0715,措备,66.3
1907,0716,措备,2.1
1907,0717,措备,0.4
1907,0719,措备,9.9
1907,0720,措备,1.3
1907,0730,措备,0.5
1907,0731,措备,1.1
1907,0801,措备,5.8
1907,0802,措备,0.4
1907,0803,措备,0.6
1907,0804,措备,0.1
1907,0807,措备,11.5
1907,0808,措备,12.7
1907,0810,措备,0.9
1907,0820,措备,2.8
1907,0824,措备,6.3
1907,0825,措备,17
1907,0826,措备,0.1
1907,0829,措备,0.4
1907,0903,措备,3.1
1907,0904,措备,16.5
1907,0905,措备,24.4
1907,0907,措备,4.6
1907,0921,措备,16.4
1907,1003,措备,0.7
1907,1005,措备,0.4
1907,1006,措备,3.4
1907,1012,措备,7.2
1907,1020,措备,10.3
1907,1021,措备,0.3
1907,1023,措备,2.4
1907,1102,措备,0.8
1907,1103,措备,0.4
1907,1111,措备,17.6
1907,1116,措备,0.5
1907,1117,措备,1.6
1907,1119,措备,8.2
1907,1120,措备,0.3
1907,1122,措备,1.9
1907,1123,措备,15.2
1907,1129,措备,0.7
1907,1206,措备,0.3
1907,1220,措备,1
1908,0111,措备,0.8
1908,0112,措备,0.1
1908,0115,措备,0.8
1908,0120,措备,2.2
1908,0130,措备,14.9
1908,0131,措备,30.7
1908,0205,措备,0.5
1908,0228,措备,25.3
1908,0229,措备,3.1
1908,0301,措备,0.4
1908,0304,措备,0.1
1908,0307,措备,1.3
1908,0310,措备,1.1
1908,0317,措备,20.1
1908,0319,措备,1.3
1908,0325,措备,1.7
1908,0326,措备,0.1
1908,0329,措备,0.3
1908,0330,措备,0.9
1908,0401,措备,2.2
1908,0403,措备,6.9
1908,0404,措备,11.4
1908,0405,措备,9.8
1908,0408,措备,11.2
1908,0411,措备,5.7
1908,0412,措备,4.7
1908,0421,措备,42.2
1908,0422,措备,41.5
1908,0425,措备,0.5
1908,0426,措备,0.6
1908,0502,措备,22.2
1908,0503,措备,13.9
1908,0510,措备,5.4
1908,0511,措备,0.2
1908,0516,措备,6.4
1908,0517,措备,3.6
1908,0522,措备,1
1908,0523,措备,0.6
1908,0526,措备,0.9
1908,0527,措备,13.2
1908,0528,措备,0.1
1908,0529,措备,4
1908,0605,措备,0.4
1908,0606,措备,5.9
1908,0612,措备,2.2
1908,0616,措备,6.8
1908,0617,措备,3
1908,0618,措备,12.9
1908,0619,措备,0.2
1908,0622,措备,17.3
1908,0625,措备,33.4
1908,0626,措备,0.5
1908,0627,措备,0.4
1908,0628,措备,22.3
1908,0629,措备,3
1908,0630,措备,12.7
1908,0701,措备,10.6
1908,0705,措备,0.2
1908,0708,措备,3.9
1908,0709,措备,21.9
1908,0710,措备,2.2
1908,0711,措备,0.2
1908,0712,措备,0.5
1908,0713,措备,0.4
1908,0715,措备,2.8
1908,0716,措备,0.1
1908,0724,措备,42.5
1908,0725,措备,60.3
1908,0726,措备,0.6
1908,0727,措备,3.8
1908,0807,措备,5.5
1908,0808,措备,2.4
1908,0809,措备,1.8
1908,0810,措备,35
1908,0811,措备,21
1908,0812,措备,15.1
1908,0813,措备,0.1
1908,0814,措备,22.6
1908,0819,措备,14.5
1908,0822,措备,0.7
1908,0823,措备,19.9
1908,0824,措备,0.3
1908,0825,措备,13.6
1908,0826,措备,25.3
1908,0827,措备,25.9
1908,0828,措备,0.1
1908,0909,措备,0.2
1908,0911,措备,1.4
1908,0912,措备,2.6
1908,0916,措备,1.6
1908,0919,措备,1.8
1908,0921,措备,0.2
1908,0922,措备,0.9
1908,1006,措备,22.3
1908,1015,措备,0.3
1908,1025,措备,2.2
1908,1026,措备,0.2
1908,1027,措备,8.1
1908,1030,措备,0.6
1908,1031,措备,5.6
1908,1117,措备,0.1
1908,1126,措备,0.2
1908,1217,措备,2.5
1908,1222,措备,11.6
1908,1229,措备,3
1909,0101,措备,0.1
1909,0103,措备,6.8
1909,0104,措备,1.2
1909,0112,措备,0.1
1909,0118,措备,3.5
1909,0119,措备,19.9
1909,0219,措备,5.9
1909,0306,措备,0.4
1909,0309,措备,0.3
1909,0310,措备,3.6
1909,0312,措备,9.5
1909,0320,措备,0.1
1909,0323,措备,13.9
1909,0406,措备,14
1909,0414,措备,32.7
1909,0418,措备,17.3
1909,0419,措备,22.8
1909,0426,措备,0.3
1909,0427,措备,2.8
1909,0428,措备,23.4
1909,0429,措备,9.5
1909,0430,措备,0.1
1909,0503,措备,5.2
1909,0504,措备,6.4
1909,0505,措备,0.7
1909,0511,措备,0.5
1909,0519,措备,6.2
1909,0525,措备,0.6
1909,0604,措备,38.6
1909,0605,措备,0.2
1909,0608,措备,0.6
1909,0609,措备,6.2
1909,0613,措备,17.5
1909,0614,措备,2.5
1909,0619,措备,0.3
1909,0621,措备,0.3
1909,0624,措备,0.8
1909,0625,措备,6.5
1909,0629,措备,7.5
1909,0630,措备,7.4
1909,0701,措备,21.2
1909,0706,措备,20
1909,0707,措备,1.5
1909,0711,措备,54.9
1909,0712,措备,46.7
1909,0718,措备,3.1
1909,0722,措备,4.7
1909,0724,措备,0.5
1909,0727,措备,0.4
1909,0730,措备,0.2
1909,0731,措备,63.3
1909,0801,措备,4.2
1909,0802,措备,71.4
1909,0803,措备,12.1
1909,0806,措备,0.4
1909,0807,措备,5.9
1909,0813,措备,1
1909,0814,措备,12.7
1909,0815,措备,80.1
1909,0816,措备,6
1909,0818,措备,1.4
1909,0819,措备,1.9
1909,0820,措备,15.9
1909,0825,措备,0.2
1909,0826,措备,0.2
1909,0903,措备,10.5
1909,0905,措备,0.9
1909,0907,措备,13.2
1909,0908,措备,5.4
1909,0915,措备,1.1
1909,0916,措备,5.9
1909,0919,措备,10.6
1909,0923,措备,0.4
1909,0924,措备,0.7
1909,0925,措备,2.1
1909,0929,措备,6.9
1909,1010,措备,0.2
1909,1018,措备,8.9
1909,1019,措备,7.2
1909,1026,措备,32.5
1909,1103,措备,0.1
1909,1107,措备,0.8
1909,1108,措备,10.4
1909,1109,措备,21.2
1909,1110,措备,6.6
1909,1123,措备,0.8
1909,1124,措备,0.5
1909,1129,措备,0.1
1909,1201,措备,0.2
1909,1205,措备,1
1909,1213,措备,0.1
1909,1229,措备,0.3
1909,1230,措备,1
1909,1231,措备,4.6
1910,0102,措备,0.1
1910,0105,措备,1.9
1910,0108,措备,6.3
1910,0113,措备,3.5
1910,0114,措备,0.3
1910,0120,措备,7.5
1910,0121,措备,12.9
1910,0125,措备,1.6
1910,0216,措备,0.4
1910,0217,措备,0.1
1910,0225,措备,2.1
1910,0226,措备,0.3
1910,0304,措备,1.3
1910,0314,措备,1.2
1910,0315,措备,0.5
1910,0318,措备,2
1910,0321,措备,0.3
1910,0322,措备,15
1910,0326,措备,14.8
1910,0327,措备,0.1
1910,0401,措备,2.3
1910,0402,措备,0.3
1910,0408,措备,15.8
1910,0409,措备,1.2
1910,0414,措备,0.2
1910,0418,措备,6.7
1910,0421,措备,17.1
1910,0424,措备,35.3
1910,0425,措备,8
1910,0428,措备,2.2
1910,0504,措备,4.2
1910,0505,措备,7.2
1910,0507,措备,9.8
1910,0508,措备,1
1910,0510,措备,5.5
1910,0511,措备,0.5
1910,0518,措备,0.9
1910,0601,措备,3
1910,0603,措备,0.3
1910,0604,措备,42
1910,0613,措备,9.3
1910,0614,措备,22.9
1910,0615,措备,3.3
1910,0616,措备,3
1910,0617,措备,1.9
1910,0619,措备,32.9
1910,0620,措备,1.8
1910,0621,措备,0.1
1910,0622,措备,0.7
1910,0625,措备,31.5
1910,0626,措备,2.4
1910,0701,措备,1.3
1910,0702,措备,60.7
1910,0703,措备,3.1
1910,0706,措备,20.3
1910,0707,措备,84.1
1910,0708,措备,15.1
1910,0709,措备,66.2
1910,0710,措备,42.3
1910,0711,措备,4.5
1910,0714,措备,0.9
